product_id,symbol,base_min_size(最小交易量),base_increment(交易货币精度),quote_increment(计价货币精度)
326,mot_eth,1,0.00100000,0.00000001
327,mot_usdt,1,0.00100000,0.00010000
328,utk_btc,10,0.01000000,0.00000001
329,utk_eth,10,0.01000000,0.00000001
330,utk_usdt,1,0.00100000,0.00010000
331,mag_btc,10,0.10000000,0.00000001
332,mag_eth,10,0.10000000,0.00000001
333,mag_usdt,10,0.10000000,0.00010000
334,topc_btc,10,0.01000000,0.00000001
335,topc_eth,10,0.01000000,0.00000001
336,brd_btc,1,0.00100000,0.00000001
337,topc_usdt,10,0.01000000,0.00010000
338,qun_btc,10,0.01000000,0.00000001
339,brd_eth,1,0.00100000,0.00000001
340,qun_eth,10,0.01000000,0.00000001
341,qun_usdt,10,0.01000000,0.00010000
342,brd_usdt,1,0.00100000,0.00010000
343,viu_btc,10,0.10000000,0.00000001
344,viu_eth,10,0.10000000,0.00000001
345,ost_btc,1,0.00100000,0.00000001
346,viu_usdt,10,0.10000000,0.00010000
347,ost_eth,1,0.00100000,0.00000001
348,ost_usdt,1,0.00100000,0.00010000
349,aidoc_btc,10,0.01000000,0.00000001
350,aidoc_eth,10,0.01000000,0.00000001
351,aidoc_usdt,10,0.01000000,0.00010000
352,int_btc,10,0.01000000,0.00000001
353,la_btc,1,0.00100000,0.00000001
354,la_eth,1,0.00100000,0.00000001
355,la_usdt,1,0.00100000,0.00010000
356,int_eth,10,0.01000000,0.00000001
357,int_usdt,10,0.01000000,0.00010000
358,ipc_btc,1,0.00100000,0.00000001
359,ipc_eth,1,0.00100000,0.00000001
360,ipc_usdt,1,0.00100000,0.00010000
361,ngc_btc,1,0.00100000,0.00000001
362,ngc_eth,1,0.00100000,0.00000001
363,ngc_usdt,1,0.00100000,0.00010000
364,tio_btc,1,0.00100000,0.00000001
365,tio_eth,1,0.00100000,0.00000001
366,tio_usdt,1,0.00100000,0.00010000
367,iost_btc,0.1,0.01000000,0.00000001
368,iost_eth,10,0.01000000,0.00000001
369,iost_usdt,10,0.01000000,0.00010000
370,poe_btc,10,0.01000000,0.00000001
371,poe_eth,10,0.01000000,0.00000001
372,poe_usdt,10,0.01000000,0.00010000
373,mof_btc,1,0.00100000,0.00000001
374,yee_btc,10,0.10000000,0.00000001
375,mof_eth,1,0.00100000,0.00000001
376,yee_eth,10,0.10000000,0.00000001
377,yee_usdt,10,0.10000000,0.00010000
378,mof_usdt,1,0.00100000,0.00010000
379,ins_btc,1,0.00100000,0.00000001
380,ins_eth,1,0.00100000,0.00000001
381,ins_usdt,0.1,0.00010000,0.00010000
382,tct_btc,10,0.01000000,0.00000001
383,tct_eth,10,0.01000000,0.00000001
384,tct_usdt,10,0.01000000,0.00010000
385,atl_btc,1,0.00100000,0.00000001
386,atl_eth,1,0.00100000,0.00000001
387,atl_usdt,1,0.00100000,0.00010000
388,theta_btc,10,0.01000000,0.00000001
389,theta_eth,10,0.01000000,0.00000001
390,lev_btc,10,0.01000000,0.00000001
391,theta_usdt,10,0.01000000,0.00010000
392,lev_eth,10,0.01000000,0.00000001
393,lev_usdt,10,0.01000000,0.00010000
394,stc_btc,10,0.01000000,0.00000001
395,spf_btc,1,0.00100000,0.00000001
396,stc_eth,10,0.01000000,0.00000001
397,spf_eth,1,0.00100000,0.00000001
398,spf_usdt,1,0.00100000,0.00010000
399,stc_usdt,10,0.01000000,0.00010000
400,ref_btc,0.01,0.00001000,0.00000001
401,ref_eth,0.01,0.00001000,0.00000001
402,ref_usdt,0.01,0.00001000,0.00010000
403,snc_btc,1,0.00100000,0.00000001
404,snc_eth,1,0.00100000,0.00000001
405,snc_usdt,1,0.00100000,0.00010000
406,pst_btc,1,0.00100000,0.00000001
407,pst_eth,1,0.00100000,0.00000001
408,pst_usdt,1,0.00100000,0.00010000
409,can_btc,10,0.01000000,0.00000001
410,can_eth,10,0.01000000,0.00000001
411,can_usdt,10,0.01000000,0.00010000
412,hot_btc,10,0.01000000,0.00000001
413,mkr_btc,0.001,0.00000100,0.00000001
414,mkr_eth,0.001,0.00000100,0.00000001
415,mkr_usdt,0.001,0.00000001,0.00010000
416,hot_eth,10,0.01000000,0.00000001
417,key_btc,10,0.10000000,0.00000001
418,hot_usdt,10,0.01000000,0.00010000
419,key_eth,10,0.10000000,0.00000001
420,key_usdt,10,0.10000000,0.00010000
421,light_btc,10,1.00000000,0.0000000001
422,light_eth,10,1.00000000,0.00000000100
423,light_usdt,10,1.00000000,0.00000100
424,true_btc,1,0.00100000,0.00000001
425,true_eth,1,0.00100000,0.00000001
426,true_usdt,1,0.00100000,0.00010000
427,of_btc,10,0.10000000,0.000000000100
428,of_eth,10,0.10000000,0.000000000100
429,of_usdt,10,0.10000000,0.00000100
430,soc_btc,10,0.01000000,0.00000001
431,soc_eth,10,0.01000000,0.00000001
432,soc_usdt,10,0.01000000,0.00010000
433,wbtc_btc,10,0.01000000,0.00000001
434,dent_btc,10,0.10000000,0.00000001
435,dent_eth,10,0.10000000,0.00000001
436,dent_usdt,10,0.10000000,0.00010000
437,zen_btc,0.01,0.00001000,0.00000001
438,zen_eth,0.01,0.00001000,0.00000001
439,zen_usdt,0.01,0.00001000,0.00010000
440,hmc_btc,10,0.01000000,0.00000001
441,hmc_eth,10,0.01000000,0.00000001
442,hmc_usdt,10,0.01000000,0.00010000
443,zip_btc,10,1.00000000,0.0000000010
444,zip_eth,10,1.00000000,0.00000001
445,zip_usdt,10,1.00000000,0.00000100
446,nano_btc,0.1,0.00010000,0.00000001
447,nano_eth,0.1,0.00010000,0.00000001
448,nano_usdt,0.1,0.00010000,0.00010000
449,cic_btc,10,0.10000000,0.00000001
450,cic_eth,10,0.10000000,0.00000001
451,cic_usdt,10,0.10000000,0.00010000
