product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
360,ipc_usdt,1,0.00010000,0.00100000
367,iost_btc,0.1,0.00000001,0.01000000
368,iost_eth,10,0.00000001,0.01000000
369,iost_usdt,10,0.00010000,0.01000000
370,poe_btc,10,0.00000001,0.01000000
371,poe_eth,10,0.00000001,0.01000000
372,poe_usdt,10,0.00010000,0.01000000
373,mof_btc,1,0.00000001,0.00100000
374,yee_btc,10,0.00000001,0.10000000
375,mof_eth,1,0.00000001,0.00100000
376,yee_eth,10,0.00000001,0.10000000
377,yee_usdt,10,0.00010000,0.10000000
378,mof_usdt,1,0.00010000,0.00100000
379,ins_btc,1,0.00000001,0.00100000
380,ins_eth,1,0.00000001,0.00100000
381,ins_usdt,0.1,0.00010000,0.00010000
388,theta_btc,10,0.00000001,0.01000000
389,theta_eth,10,0.00000001,0.01000000
391,theta_usdt,10,0.00010000,0.01000000
395,spf_btc,1,0.00000001,0.00100000
397,spf_eth,1,0.00000001,0.00100000
398,spf_usdt,1,0.00010000,0.00100000
403,snc_btc,1,0.00000001,0.00100000
404,snc_eth,1,0.00000001,0.00100000
405,snc_usdt,1,0.00010000,0.00100000
406,pst_btc,1,0.00000001,0.00100000
407,pst_eth,1,0.00000001,0.00100000
408,pst_usdt,1,0.00010000,0.00100000
409,can_btc,10,0.00000001,0.01000000
410,can_eth,10,0.00000001,0.01000000
411,can_usdt,10,0.00010000,0.01000000
412,hot_btc,10,0.00000001,0.01000000
413,mkr_btc,0.001,0.00000001,0.00000100
414,mkr_eth,0.001,0.00000001,0.00000100
415,mkr_usdt,0.001,0.00010000,0.00000001
416,hot_eth,10,0.00000001,0.01000000
418,hot_usdt,10,0.00010000,0.01000000
424,true_btc,1,0.00000001,0.00100000
425,true_eth,1,0.00000001,0.00100000
426,true_usdt,1,0.00010000,0.00100000
427,of_btc,10,0.00000000,0.10000000
428,of_eth,10,0.00000000,0.10000000
429,of_usdt,10,0.00000100,0.10000000
433,wbtc_btc,10,0.00000001,0.01000000
434,dent_btc,10,0.00000001,0.10000000
435,dent_eth,10,0.00000001,0.10000000
436,dent_usdt,10,0.00010000,0.10000000
437,zen_btc,0.01,0.00000001,0.00001000
438,zen_eth,0.01,0.00000001,0.00001000
439,zen_usdt,0.01,0.00010000,0.00001000
443,zip_btc,10,0.00000000,1.00000000
444,zip_eth,10,0.00000001,1.00000000
445,zip_usdt,10,0.00000100,1.00000000
446,nano_btc,0.1,0.00000001,0.00010000
447,nano_eth,0.1,0.00000001,0.00010000
448,nano_usdt,0.1,0.00010000,0.00010000
449,cic_btc,10,0.00000001,0.10000000
450,cic_eth,10,0.00000001,0.10000000
